skill_id,skills,type
0,python,programming
1,r,programming
2,sql,programming
3,c,programming
4,c#,programming
5,java,programming
6,javascript,programming
7,matlab,programming
8,sas,programming
9,go,programming
10,c++,programming
11,scala,programming
12,mongodb,programming
13,nosql,programming
14,mongo,programming
15,shell,programming
16,typescript,programming
17,css,programming
18,ruby,programming
19,powershell,programming
20,bash,programming
21,assembly,programming
22,rust,programming
23,golang,programming
24,cobol,programming
25,vba,programming
26,julia,programming
27,t-sql,programming
28,html,programming
29,perl,programming
30,swift,programming
31,php,programming
32,kotlin,programming
33,groovy,programming
34,sass,programming
35,visual basic,programming
36,no-sql,programming
37,dart,programming
38,elixir,programming
39,haskell,programming
40,ocaml,programming
41,f#,programming
42,apl,programming
43,fortran,programming
44,crystal,programming
45,solidity,programming
46,vb.net,programming
47,objective-c,programming
48,lua,programming
49,clojure,programming
50,delphi,programming
51,lisp,programming
52,erlang,programming
53,pascal,programming
54,postgresql,databases
55,sql server,databases
56,db2,databases
57,mongodb,databases
58,mysql,databases
59,dynamodb,databases
60,cassandra,databases
61,redis,databases
62,elasticsearch,databases
63,mariadb,databases
64,firebase,databases
65,neo4j,databases
66,firestore,databases
67,couchbase,databases
68,couchdb,databases
69,sqlite,databases
70,sqlserver,databases
71,sqlserver,databases
72,azure,cloud
73,aws,cloud
74,redshift,cloud
75,oracle,cloud
76,snowflake,cloud
77,aurora,cloud
78,databricks,cloud
79,bigquery,cloud
80,gcp,cloud
81,vmware,cloud
82,colocation,cloud
83,firebase,cloud
84,heroku,cloud
85,ibm cloud,cloud
86,watson,cloud
87,openstack,cloud
88,ovh,cloud
89,digitalocean,cloud
90,linode,cloud
91,hadoop,libraries
92,spark,libraries
93,react,libraries
94,scikit-learn,libraries
95,tensorflow,libraries
96,pytorch,libraries
97,pandas,libraries
98,numpy,libraries
99,opencv,libraries
100,keras,libraries
101,seaborn,libraries
102,pyspark,libraries
103,gdpr,libraries
104,mxnet,libraries
105,airflow,libraries
106,kafka,libraries
107,spring,libraries
108,jupyter,libraries
109,dplyr,libraries
110,plotly,libraries
111,nltk,libraries
112,graphql,libraries
113,matplotlib,libraries
114,ionic,libraries
115,hugging face,libraries
116,selenium,libraries
117,tidyverse,libraries
118,mlr,libraries
119,rshiny,libraries
120,ggplot2,libraries
121,flutter,libraries
122,theano,libraries
123,qt,libraries
124,tidyr,libraries
125,electron,libraries
126,cordova,libraries
127,capacitor,libraries
128,xamarin,libraries
129,chainer,libraries
130,huggingface,libraries
131,dlib,libraries
132,shogun,libraries
133,fann,libraries
134,gtx,libraries
135,node.js,webframeworks
136,angular,webframeworks
137,phoenix,webframeworks
138,express,webframeworks
139,ruby,webframeworks
140,react.js,webframeworks
141,fastapi,webframeworks
142,flask,webframeworks
143,django,webframeworks
144,vue,webframeworks
145,jquery,webframeworks
146,vue.js,webframeworks
147,asp.net,webframeworks
148,node,webframeworks
149,next.js,webframeworks
150,ruby on rails,webframeworks
151,svelte,webframeworks
152,laravel,webframeworks
153,asp.net core,webframeworks
154,gatsby,webframeworks
155,drupal,webframeworks
156,angular.js,webframeworks
157,play framework,webframeworks
158,blazor,webframeworks
159,symfony,webframeworks
160,nuxt.js,webframeworks
161,ember.js,webframeworks
162,fastify,webframeworks
163,deno,webframeworks
164,linux,os
165,windows,os
166,suse,os
167,unix,os
168,centos,os
169,wsl,os
170,macos,os
171,debian,os
172,redhat,os
173,ubuntu,os
174,arch,os
175,fedora,os
176,kali,os
177,tableau,analyst_tools
178,power bi,analyst_tools
179,sas,analyst_tools
180,sap,analyst_tools
181,excel,analyst_tools
182,word,analyst_tools
183,qlik,analyst_tools
184,looker,analyst_tools
185,powerpoint,analyst_tools
186,ssrs,analyst_tools
187,ssis,analyst_tools
188,sharepoint,analyst_tools
189,microstrategy,analyst_tools
190,ms access,analyst_tools
191,dax,analyst_tools
192,spss,analyst_tools
193,alteryx,analyst_tools
194,sheets,analyst_tools
195,visio,analyst_tools
196,outlook,analyst_tools
197,cognos,analyst_tools
198,spreadsheet,analyst_tools
199,splunk,analyst_tools
200,datarobot,analyst_tools
201,powerbi,analyst_tools
202,nuix,analyst_tools
203,powerbi,analyst_tools
204,esquisse,analyst_tools
205,kubernetes,other
206,github,other
207,puppet,other
208,ansible,other
209,docker,other
210,git,other
211,jenkins,other
212,flow,other
213,gitlab,other
214,terraform,other
215,bitbucket,other
216,atlassian,other
217,svn,other
218,unity,other
219,chef,other
220,yarn,other
221,npm,other
222,terminal,other
223,unreal,other
224,pulumi,other
225,codecommit,other
226,homebrew,other
227,jira,async
228,confluence,async
229,planner,async
230,notion,async
231,asana,async
232,trello,async
233,airtable,async
234,smartsheet,async
235,wrike,async
236,monday.com,async
237,clickup,async
238,workfront,async
239,microsoft lists,async
240,workzone,async
241,dingtalk,async
242,swit,async
243,zoom,sync
244,twilio,sync
245,slack,sync
246,microsoft teams,sync
247,webex,sync
248,unify,sync
249,ringcentral,sync
250,wire,sync
251,symphony,sync
252,mattermost,sync
253,google chat,sync
